minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,room_type_n,price
3.0,11.0,1.0,1.0,0.0,295
2.0,2.0,1.0,0.0,1.0,70
2.0,0.0,2.0,0.0,1.0,58
3.0,87.0,1.0,267.0,0.0,75
5.0,13.0,1.0,0.0,1.0,38
30.0,3.0,31.0,270.0,0.0,100
7.0,1.0,1.0,43.0,0.0,260
1.0,42.0,1.0,4.0,0.0,147
1.0,0.0,1.0,0.0,1.0,34
1.0,0.0,1.0,0.0,1.0,65
30.0,6.0,9.0,150.0,0.0,125
30.0,0.0,65.0,338.0,0.0,310
1.0,0.0,5.0,329.0,1.0,50
1.0,4.0,1.0,0.0,1.0,79
30.0,1.0,2.0,63.0,0.0,329
1.0,0.0,2.0,170.0,1.0,115
3.0,3.0,1.0,0.0,0.0,140
3.0,95.0,2.0,112.0,0.0,225
1.0,0.0,5.0,281.0,1.0,149
2.0,7.0,1.0,124.0,1.0,50
30.0,0.0,7.0,364.0,1.0,88
2.0,1.0,1.0,0.0,0.0,200
14.0,4.0,1.0,0.0,0.0,160
2.0,51.0,1.0,89.0,0.0,125
4.0,14.0,3.0,0.0,1.0,75
2.0,5.0,1.0,57.0,1.0,80
2.0,1.0,1.0,0.0,0.0,140
2.0,15.0,1.0,41.0,0.0,134
10.0,1.0,1.0,0.0,1.0,65
30.0,7.0,52.0,327.0,0.0,159
2.0,16.0,1.0,52.0,0.0,300
1.0,0.0,1.0,180.0,1.0,95
15.0,0.0,1.0,0.0,1.0,70
2.0,58.0,6.0,199.0,0.0,248
1.0,1.0,5.0,364.0,0.0,750
2.0,3.0,1.0,0.0,1.0,90
30.0,5.0,8.0,161.0,0.0,80
7.0,0.0,1.0,67.0,0.0,85
3.0,3.0,1.0,0.0,1.0,50
2.0,4.0,1.0,0.0,0.0,295
14.0,0.0,1.0,0.0,1.0,80
3.0,0.0,1.0,0.0,1.0,109
3.0,16.0,1.0,0.0,1.0,100
2.0,27.0,1.0,339.0,1.0,45
3.0,38.0,1.0,243.0,0.0,135
4.0,9.0,3.0,124.0,0.0,115
5.0,7.0,1.0,341.0,1.0,185
3.0,3.0,1.0,42.0,0.0,150
30.0,0.0,232.0,312.0,0.0,290
1.0,5.0,2.0,0.0,1.0,80
1.0,26.0,3.0,0.0,1.0,65
31.0,3.0,2.0,242.0,1.0,45
1.0,127.0,1.0,7.0,0.0,80
1.0,5.0,3.0,365.0,1.0,75
7.0,15.0,1.0,213.0,1.0,69
4.0,28.0,1.0,0.0,1.0,65
4.0,0.0,1.0,0.0,1.0,60
3.0,3.0,1.0,0.0,0.0,195
15.0,19.0,3.0,106.0,1.0,69
5.0,2.0,1.0,0.0,0.0,160
3.0,12.0,1.0,0.0,0.0,150
1.0,0.0,2.0,0.0,1.0,250
3.0,0.0,1.0,0.0,0.0,90
2.0,4.0,1.0,129.0,0.0,235
1.0,0.0,7.0,230.0,1.0,100
1.0,0.0,1.0,15.0,0.0,239
1.0,0.0,1.0,32.0,0.0,65
3.0,19.0,1.0,228.0,0.0,115
1.0,30.0,1.0,282.0,0.0,60
7.0,1.0,1.0,173.0,1.0,60
14.0,0.0,1.0,0.0,1.0,45
1.0,2.0,1.0,0.0,0.0,300
5.0,9.0,2.0,0.0,1.0,35
4.0,5.0,4.0,98.0,1.0,69
30.0,5.0,1.0,301.0,0.0,198
5.0,3.0,1.0,0.0,0.0,100
2.0,47.0,4.0,249.0,1.0,60
1.0,0.0,1.0,179.0,1.0,225
2.0,19.0,4.0,328.0,0.0,325
2.0,9.0,1.0,286.0,0.0,350
1.0,0.0,1.0,0.0,1.0,45
6.0,2.0,1.0,341.0,0.0,200
4.0,45.0,1.0,190.0,0.0,100
2.0,64.0,1.0,194.0,0.0,125
2.0,5.0,3.0,365.0,1.0,68
5.0,47.0,2.0,91.0,0.0,115
3.0,2.0,1.0,36.0,1.0,55
15.0,1.0,1.0,0.0,0.0,65
5.0,3.0,1.0,9.0,0.0,300
3.0,52.0,1.0,3.0,0.0,100
3.0,98.0,1.0,278.0,1.0,98
1.0,3.0,1.0,0.0,0.0,100
2.0,0.0,1.0,5.0,0.0,165
7.0,4.0,1.0,95.0,1.0,55
1.0,0.0,1.0,363.0,1.0,149
2.0,6.0,4.0,0.0,1.0,102
1.0,52.0,4.0,355.0,1.0,85
1.0,15.0,1.0,179.0,1.0,89
2.0,26.0,1.0,74.0,1.0,45
4.0,3.0,1.0,0.0,0.0,299
30.0,1.0,1.0,0.0,0.0,130
14.0,88.0,1.0,176.0,1.0,93
2.0,4.0,1.0,0.0,0.0,210
3.0,0.0,1.0,0.0,0.0,200
1.0,34.0,1.0,93.0,1.0,70
1.0,17.0,1.0,64.0,0.0,90
1.0,25.0,11.0,330.0,0.0,140
1.0,2.0,1.0,0.0,1.0,60
2.0,41.0,2.0,342.0,0.0,125
1.0,14.0,6.0,121.0,1.0,49
1.0,1.0,1.0,0.0,0.0,125
5.0,0.0,3.0,0.0,1.0,45
1.0,186.0,4.0,199.0,1.0,65
5.0,0.0,1.0,0.0,1.0,65
1.0,10.0,1.0,0.0,1.0,50
1.0,0.0,1.0,0.0,1.0,49
4.0,4.0,1.0,0.0,0.0,120
1.0,3.0,1.0,365.0,1.0,125
1.0,2.0,3.0,0.0,0.0,150
3.0,32.0,2.0,141.0,0.0,200
3.0,0.0,1.0,0.0,0.0,144
4.0,2.0,1.0,0.0,0.0,135
2.0,80.0,1.0,350.0,1.0,90
30.0,0.0,2.0,45.0,0.0,120
2.0,17.0,1.0,3.0,0.0,160
30.0,0.0,232.0,330.0,0.0,314
2.0,53.0,1.0,8.0,1.0,54
3.0,0.0,2.0,311.0,1.0,50
2.0,1.0,1.0,266.0,0.0,275
1.0,33.0,1.0,19.0,1.0,68
1.0,23.0,2.0,364.0,2.0,50
2.0,4.0,1.0,0.0,0.0,125
2.0,19.0,1.0,198.0,1.0,75
1.0,0.0,3.0,330.0,1.0,100
3.0,18.0,1.0,0.0,0.0,130
1.0,4.0,1.0,0.0,0.0,100
3.0,1.0,1.0,125.0,0.0,270
7.0,6.0,1.0,0.0,1.0,48
2.0,123.0,3.0,59.0,1.0,130
3.0,0.0,1.0,0.0,0.0,200
1.0,2.0,1.0,249.0,1.0,43
1.0,0.0,1.0,83.0,1.0,60
4.0,34.0,2.0,340.0,0.0,130
2.0,11.0,1.0,0.0,0.0,275
1.0,22.0,1.0,130.0,0.0,79
1.0,22.0,2.0,236.0,1.0,48
3.0,38.0,3.0,302.0,0.0,450
3.0,4.0,1.0,108.0,0.0,639
2.0,9.0,1.0,0.0,1.0,40
1.0,4.0,1.0,71.0,1.0,51
3.0,5.0,1.0,281.0,1.0,52
1.0,6.0,2.0,323.0,1.0,65
30.0,0.0,65.0,326.0,0.0,188
1.0,3.0,1.0,0.0,1.0,120
2.0,35.0,5.0,235.0,1.0,58
14.0,1.0,2.0,0.0,1.0,60
2.0,30.0,3.0,3.0,1.0,115
1.0,0.0,1.0,43.0,0.0,199
5.0,4.0,1.0,0.0,0.0,290
30.0,2.0,121.0,365.0,0.0,275
1.0,4.0,1.0,341.0,1.0,60
1.0,1.0,7.0,350.0,1.0,60
1.0,57.0,2.0,295.0,1.0,50
1.0,5.0,1.0,0.0,1.0,75
1.0,15.0,1.0,16.0,0.0,82
1.0,144.0,2.0,134.0,0.0,150
3.0,48.0,1.0,0.0,2.0,99
3.0,4.0,1.0,0.0,1.0,65
3.0,4.0,1.0,69.0,0.0,100
4.0,121.0,2.0,33.0,0.0,72
2.0,6.0,1.0,29.0,1.0,50
5.0,42.0,3.0,63.0,1.0,81
2.0,5.0,2.0,0.0,0.0,120
3.0,0.0,2.0,0.0,0.0,95
3.0,17.0,1.0,0.0,0.0,119
4.0,0.0,1.0,78.0,0.0,220
1.0,71.0,3.0,91.0,1.0,122
30.0,8.0,47.0,351.0,1.0,55
30.0,25.0,3.0,342.0,0.0,218
12.0,4.0,1.0,118.0,0.0,150
2.0,51.0,1.0,147.0,0.0,212
4.0,153.0,2.0,125.0,1.0,69
2.0,18.0,1.0,0.0,0.0,150
70.0,3.0,1.0,0.0,0.0,70
3.0,73.0,1.0,44.0,0.0,235
30.0,1.0,1.0,6.0,0.0,78
6.0,5.0,1.0,40.0,0.0,150
1.0,24.0,2.0,72.0,1.0,89
1.0,0.0,1.0,0.0,0.0,200
5.0,82.0,1.0,0.0,0.0,175
1.0,160.0,1.0,319.0,1.0,80
3.0,22.0,2.0,0.0,1.0,50
3.0,30.0,1.0,159.0,0.0,150
2.0,0.0,1.0,0.0,1.0,75
2.0,35.0,1.0,6.0,1.0,100
1.0,1.0,2.0,363.0,2.0,50
2.0,21.0,1.0,272.0,1.0,135
30.0,3.0,34.0,311.0,1.0,65
7.0,1.0,1.0,179.0,2.0,50
3.0,1.0,1.0,5.0,0.0,390
1.0,10.0,1.0,0.0,0.0,95
14.0,0.0,1.0,31.0,1.0,52
2.0,46.0,1.0,19.0,0.0,162
