minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,room_type_n,price
5.0,46.0,1.0,174.0,1.0,45
1.0,0.0,2.0,179.0,1.0,79
9.0,7.0,1.0,0.0,1.0,60
3.0,164.0,1.0,27.0,1.0,76
1.0,280.0,1.0,246.0,1.0,99
2.0,3.0,1.0,0.0,1.0,45
2.0,13.0,1.0,288.0,0.0,144
30.0,4.0,20.0,272.0,0.0,130
1.0,1.0,1.0,0.0,0.0,89
2.0,8.0,1.0,0.0,0.0,125
1.0,34.0,3.0,75.0,2.0,40
31.0,1.0,2.0,155.0,0.0,120
3.0,1.0,1.0,52.0,1.0,160
3.0,10.0,1.0,88.0,1.0,85
35.0,0.0,1.0,0.0,0.0,85
1.0,0.0,1.0,0.0,1.0,80
1.0,57.0,1.0,48.0,1.0,65
30.0,6.0,1.0,135.0,0.0,220
1.0,11.0,4.0,347.0,1.0,75
2.0,5.0,2.0,0.0,1.0,65
5.0,1.0,1.0,0.0,0.0,350
30.0,0.0,18.0,146.0,0.0,499
2.0,5.0,1.0,0.0,0.0,142
2.0,2.0,1.0,0.0,0.0,116
2.0,12.0,2.0,19.0,1.0,60
1.0,2.0,2.0,0.0,1.0,85
3.0,0.0,1.0,0.0,0.0,150
2.0,1.0,1.0,0.0,1.0,69
30.0,0.0,1.0,0.0,0.0,70
1.0,0.0,1.0,0.0,1.0,100
31.0,4.0,33.0,299.0,0.0,190
2.0,5.0,1.0,0.0,0.0,99
1.0,14.0,1.0,272.0,1.0,50
7.0,1.0,1.0,0.0,1.0,100
1.0,89.0,3.0,356.0,1.0,84
2.0,2.0,1.0,0.0,1.0,85
3.0,9.0,1.0,0.0,0.0,100
2.0,13.0,1.0,160.0,0.0,150
10.0,3.0,1.0,0.0,0.0,80
1.0,27.0,9.0,363.0,1.0,50
2.0,5.0,3.0,4.0,1.0,65
2.0,4.0,1.0,0.0,0.0,160
2.0,13.0,1.0,0.0,0.0,149
1.0,54.0,1.0,341.0,1.0,125
1.0,2.0,1.0,301.0,0.0,890
7.0,0.0,1.0,254.0,0.0,69
1.0,62.0,2.0,258.0,1.0,79
2.0,0.0,1.0,3.0,0.0,115
3.0,4.0,1.0,5.0,0.0,180
1.0,2.0,1.0,0.0,1.0,70
2.0,21.0,5.0,125.0,1.0,57
3.0,57.0,1.0,93.0,0.0,199
1.0,5.0,1.0,0.0,1.0,75
3.0,0.0,1.0,0.0,1.0,65
3.0,0.0,1.0,0.0,0.0,250
2.0,1.0,1.0,0.0,1.0,102
14.0,11.0,1.0,332.0,1.0,75
3.0,5.0,1.0,320.0,0.0,550
2.0,1.0,1.0,363.0,0.0,500
1.0,94.0,1.0,187.0,0.0,190
30.0,4.0,4.0,301.0,0.0,110
1.0,1.0,7.0,339.0,1.0,100
2.0,41.0,1.0,3.0,1.0,52
2.0,88.0,1.0,223.0,0.0,250
2.0,41.0,1.0,242.0,1.0,175
1.0,78.0,5.0,365.0,0.0,150
5.0,0.0,1.0,0.0,1.0,99
3.0,0.0,2.0,0.0,0.0,125
2.0,1.0,1.0,0.0,1.0,70
14.0,0.0,1.0,0.0,1.0,49
2.0,5.0,1.0,0.0,0.0,200
1.0,12.0,1.0,0.0,1.0,49
2.0,5.0,2.0,365.0,1.0,75
30.0,1.0,121.0,351.0,0.0,239
2.0,0.0,1.0,35.0,1.0,55
1.0,5.0,2.0,0.0,1.0,55
3.0,89.0,1.0,66.0,1.0,55
4.0,6.0,1.0,0.0,0.0,110
1.0,0.0,4.0,177.0,0.0,2000
3.0,29.0,1.0,15.0,1.0,59
2.0,31.0,1.0,169.0,0.0,115
3.0,2.0,1.0,0.0,0.0,160
13.0,2.0,1.0,0.0,1.0,37
3.0,13.0,1.0,0.0,0.0,145
1.0,1.0,3.0,0.0,1.0,80
21.0,0.0,1.0,0.0,0.0,82
1.0,6.0,1.0,0.0,1.0,50
3.0,4.0,1.0,0.0,0.0,200
2.0,53.0,1.0,0.0,0.0,160
3.0,44.0,1.0,64.0,0.0,169
3.0,31.0,1.0,0.0,0.0,210
2.0,3.0,1.0,158.0,0.0,525
4.0,6.0,1.0,6.0,1.0,50
3.0,12.0,1.0,0.0,0.0,120
1.0,1.0,8.0,0.0,1.0,84
3.0,6.0,1.0,1.0,0.0,113
2.0,6.0,1.0,0.0,0.0,200
10.0,5.0,1.0,0.0,0.0,150
3.0,1.0,1.0,7.0,0.0,350
2.0,0.0,1.0,2.0,0.0,800
1.0,0.0,2.0,179.0,1.0,159
2.0,2.0,1.0,0.0,0.0,75
3.0,1.0,1.0,5.0,0.0,140
2.0,3.0,1.0,0.0,1.0,55
90.0,0.0,1.0,173.0,1.0,80
2.0,14.0,1.0,0.0,1.0,54
3.0,15.0,1.0,0.0,0.0,350
1.0,5.0,2.0,31.0,1.0,70
7.0,1.0,6.0,313.0,2.0,25
2.0,114.0,1.0,314.0,0.0,155
1.0,19.0,3.0,37.0,1.0,115
1.0,5.0,1.0,0.0,1.0,90
1.0,35.0,2.0,365.0,1.0,50
2.0,119.0,1.0,0.0,0.0,220
2.0,4.0,1.0,29.0,0.0,190
1.0,113.0,3.0,288.0,1.0,49
1.0,4.0,1.0,0.0,1.0,57
4.0,2.0,2.0,0.0,1.0,49
3.0,10.0,1.0,0.0,0.0,900
3.0,5.0,1.0,362.0,0.0,1500
2.0,52.0,1.0,72.0,0.0,150
1.0,63.0,4.0,29.0,1.0,69
3.0,8.0,1.0,0.0,0.0,110
30.0,4.0,1.0,47.0,0.0,115
1.0,0.0,2.0,0.0,1.0,750
2.0,7.0,4.0,3.0,1.0,95
1.0,71.0,2.0,35.0,1.0,80
3.0,15.0,1.0,4.0,0.0,198
7.0,25.0,1.0,359.0,1.0,95
3.0,10.0,1.0,0.0,0.0,136
1.0,0.0,1.0,0.0,1.0,180
3.0,50.0,2.0,352.0,0.0,130
1.0,6.0,1.0,2.0,0.0,195
1.0,1.0,1.0,0.0,1.0,60
1.0,5.0,1.0,338.0,0.0,185
7.0,15.0,1.0,0.0,0.0,80
1.0,1.0,1.0,0.0,1.0,80
5.0,0.0,1.0,0.0,0.0,175
7.0,9.0,47.0,337.0,1.0,62
2.0,22.0,1.0,47.0,0.0,250
1.0,0.0,8.0,0.0,0.0,275
2.0,37.0,1.0,0.0,0.0,94
2.0,6.0,1.0,39.0,0.0,136
2.0,4.0,2.0,0.0,1.0,95
2.0,61.0,3.0,42.0,1.0,69
7.0,0.0,1.0,0.0,1.0,42
3.0,3.0,1.0,0.0,0.0,320
2.0,28.0,1.0,0.0,1.0,62
6.0,0.0,1.0,0.0,0.0,90
1.0,0.0,1.0,0.0,0.0,190
2.0,3.0,2.0,0.0,1.0,155
1.0,67.0,1.0,8.0,1.0,49
1.0,1.0,1.0,0.0,1.0,60
2.0,14.0,1.0,0.0,1.0,60
3.0,3.0,2.0,0.0,0.0,120
30.0,52.0,1.0,314.0,0.0,139
2.0,29.0,1.0,65.0,0.0,350
1.0,114.0,1.0,157.0,0.0,290
7.0,2.0,1.0,0.0,1.0,45
30.0,3.0,31.0,339.0,0.0,125
35.0,0.0,1.0,0.0,0.0,80
6.0,7.0,1.0,4.0,0.0,149
30.0,0.0,3.0,84.0,2.0,37
2.0,3.0,1.0,268.0,0.0,149
2.0,81.0,1.0,6.0,1.0,112
3.0,0.0,1.0,0.0,0.0,175
3.0,1.0,10.0,281.0,2.0,40
5.0,7.0,1.0,1.0,0.0,221
3.0,0.0,1.0,359.0,0.0,300
2.0,0.0,2.0,90.0,1.0,75
2.0,4.0,1.0,0.0,0.0,195
2.0,11.0,1.0,6.0,0.0,120
1.0,0.0,1.0,0.0,0.0,260
2.0,1.0,1.0,0.0,1.0,150
31.0,6.0,33.0,326.0,0.0,287
3.0,32.0,3.0,78.0,0.0,172
4.0,1.0,2.0,0.0,1.0,47
5.0,55.0,1.0,0.0,1.0,89
7.0,3.0,1.0,43.0,0.0,160
30.0,0.0,25.0,305.0,1.0,48
2.0,3.0,1.0,364.0,1.0,205
2.0,1.0,1.0,0.0,0.0,300
10.0,0.0,1.0,0.0,0.0,115
5.0,1.0,1.0,365.0,0.0,700
3.0,2.0,1.0,0.0,0.0,130
3.0,7.0,1.0,131.0,1.0,42
3.0,51.0,3.0,276.0,1.0,80
10.0,0.0,1.0,0.0,0.0,78
30.0,1.0,2.0,111.0,0.0,100
7.0,0.0,1.0,0.0,1.0,120
2.0,18.0,2.0,5.0,1.0,55
2.0,37.0,1.0,229.0,0.0,225
5.0,0.0,1.0,43.0,1.0,100
30.0,1.0,232.0,218.0,0.0,244
26.0,58.0,3.0,129.0,1.0,75
1.0,143.0,1.0,282.0,0.0,99
3.0,1.0,1.0,59.0,1.0,70
4.0,11.0,1.0,259.0,0.0,200
3.0,107.0,1.0,99.0,0.0,150
1.0,49.0,4.0,24.0,1.0,89
2.0,12.0,1.0,363.0,0.0,225
1.0,4.0,2.0,0.0,1.0,120
7.0,12.0,1.0,3.0,0.0,150
4.0,13.0,2.0,0.0,0.0,105
1.0,3.0,1.0,0.0,0.0,250
3.0,63.0,1.0,323.0,0.0,275
1.0,0.0,1.0,0.0,1.0,100
1.0,0.0,1.0,0.0,1.0,100
5.0,46.0,1.0,228.0,0.0,200
3.0,25.0,1.0,0.0,0.0,160
2.0,12.0,1.0,3.0,1.0,90
365.0,4.0,5.0,305.0,0.0,120
4.0,24.0,2.0,157.0,0.0,200
5.0,17.0,1.0,119.0,1.0,45
30.0,0.0,1.0,270.0,1.0,999
2.0,0.0,3.0,280.0,1.0,125
3.0,1.0,1.0,0.0,1.0,60
2.0,15.0,1.0,20.0,0.0,120
1.0,0.0,1.0,66.0,1.0,41
30.0,0.0,49.0,364.0,0.0,285
4.0,1.0,7.0,365.0,2.0,30
1.0,0.0,1.0,0.0,0.0,125
14.0,18.0,1.0,128.0,1.0,70
3.0,0.0,3.0,294.0,0.0,300
1.0,17.0,3.0,67.0,1.0,85
3.0,0.0,1.0,11.0,0.0,349
2.0,3.0,3.0,364.0,1.0,125
30.0,0.0,1.0,310.0,0.0,300
3.0,49.0,1.0,216.0,1.0,99
2.0,1.0,1.0,9.0,0.0,250
7.0,3.0,47.0,348.0,1.0,75
30.0,3.0,1.0,213.0,0.0,100
2.0,103.0,1.0,73.0,0.0,75
8.0,6.0,1.0,0.0,0.0,95
2.0,7.0,1.0,104.0,1.0,65
3.0,76.0,3.0,281.0,1.0,110
3.0,12.0,1.0,0.0,0.0,158
7.0,35.0,1.0,326.0,0.0,99
3.0,68.0,1.0,299.0,0.0,110
1.0,63.0,6.0,356.0,1.0,120
1.0,0.0,3.0,364.0,1.0,150
1.0,2.0,1.0,0.0,0.0,175
2.0,206.0,2.0,0.0,1.0,65
2.0,0.0,2.0,357.0,1.0,100
9.0,2.0,1.0,12.0,0.0,198
5.0,26.0,4.0,325.0,1.0,59
1.0,3.0,1.0,0.0,1.0,90
1.0,12.0,5.0,287.0,1.0,100
1.0,183.0,1.0,1.0,0.0,100
2.0,13.0,1.0,65.0,1.0,50
2.0,33.0,1.0,47.0,1.0,48
1.0,1.0,1.0,0.0,1.0,60
1.0,0.0,20.0,360.0,1.0,159
30.0,0.0,2.0,365.0,0.0,155
2.0,113.0,1.0,333.0,1.0,85
1.0,2.0,1.0,0.0,0.0,75
2.0,1.0,1.0,0.0,1.0,78
5.0,0.0,1.0,0.0,0.0,225
3.0,2.0,1.0,2.0,0.0,180
1.0,4.0,1.0,0.0,1.0,50
30.0,0.0,232.0,156.0,0.0,481
2.0,200.0,1.0,202.0,1.0,70
3.0,1.0,1.0,90.0,0.0,180
20.0,3.0,1.0,35.0,1.0,65
1.0,134.0,2.0,176.0,1.0,99
1.0,6.0,1.0,0.0,1.0,75
2.0,6.0,1.0,1.0,0.0,260
12.0,27.0,1.0,13.0,0.0,114
3.0,1.0,1.0,94.0,0.0,60
1.0,1.0,1.0,0.0,0.0,100
1.0,5.0,2.0,337.0,1.0,36
6.0,1.0,1.0,0.0,0.0,230
2.0,1.0,1.0,0.0,0.0,250
2.0,10.0,1.0,0.0,0.0,175
20.0,7.0,3.0,342.0,1.0,59
1.0,1.0,9.0,299.0,1.0,100
3.0,2.0,2.0,0.0,1.0,39
2.0,5.0,2.0,0.0,1.0,55
30.0,0.0,15.0,317.0,0.0,136
3.0,2.0,8.0,282.0,1.0,90
2.0,39.0,1.0,19.0,0.0,200
5.0,5.0,1.0,0.0,0.0,140
7.0,1.0,1.0,45.0,1.0,125
2.0,8.0,2.0,52.0,1.0,50
30.0,0.0,9.0,200.0,0.0,170
1.0,7.0,17.0,234.0,0.0,153
3.0,9.0,1.0,68.0,0.0,135
1.0,1.0,1.0,125.0,0.0,86
1.0,10.0,1.0,0.0,1.0,95
5.0,1.0,1.0,250.0,1.0,40
4.0,4.0,1.0,65.0,0.0,325
1.0,31.0,4.0,94.0,1.0,68
1.0,23.0,1.0,14.0,0.0,150
1.0,68.0,1.0,299.0,1.0,90
1.0,32.0,1.0,5.0,1.0,90
4.0,4.0,1.0,0.0,0.0,239
1.0,4.0,3.0,365.0,1.0,100
1.0,1.0,1.0,0.0,0.0,75
1.0,20.0,1.0,67.0,1.0,115
1.0,41.0,3.0,145.0,2.0,30
2.0,1.0,2.0,89.0,1.0,69
7.0,9.0,1.0,144.0,1.0,65
29.0,0.0,327.0,342.0,0.0,165
4.0,17.0,1.0,9.0,0.0,107
2.0,1.0,1.0,0.0,0.0,150
30.0,0.0,49.0,348.0,0.0,225
1.0,34.0,5.0,133.0,0.0,172
2.0,137.0,1.0,317.0,0.0,199
30.0,0.0,2.0,0.0,0.0,154
2.0,0.0,1.0,356.0,1.0,375
5.0,6.0,1.0,0.0,0.0,117
1.0,0.0,1.0,0.0,0.0,123
7.0,3.0,1.0,0.0,1.0,50
7.0,0.0,1.0,6.0,0.0,285
1.0,0.0,1.0,0.0,1.0,100
2.0,1.0,3.0,167.0,2.0,25
3.0,29.0,1.0,6.0,0.0,299
2.0,6.0,3.0,61.0,1.0,175
1.0,7.0,3.0,139.0,1.0,33
14.0,0.0,1.0,23.0,0.0,1250
11.0,27.0,2.0,212.0,0.0,47
5.0,0.0,1.0,0.0,0.0,100
1.0,0.0,1.0,0.0,1.0,39
1.0,30.0,1.0,6.0,1.0,43
4.0,2.0,1.0,0.0,0.0,275
2.0,8.0,1.0,0.0,0.0,300
4.0,0.0,1.0,0.0,0.0,150
2.0,14.0,1.0,16.0,0.0,88
28.0,49.0,1.0,313.0,0.0,75
1.0,8.0,1.0,74.0,1.0,44
2.0,0.0,1.0,364.0,1.0,125
1.0,8.0,3.0,342.0,1.0,70
1.0,15.0,1.0,0.0,1.0,34
3.0,234.0,4.0,308.0,0.0,80
1.0,6.0,1.0,0.0,0.0,57
1.0,2.0,1.0,133.0,0.0,305
3.0,10.0,1.0,0.0,0.0,150
3.0,7.0,1.0,0.0,0.0,200
3.0,0.0,3.0,140.0,0.0,299
1.0,0.0,1.0,0.0,1.0,65
4.0,30.0,1.0,0.0,0.0,200
2.0,0.0,1.0,0.0,1.0,75
2.0,0.0,2.0,0.0,1.0,50
5.0,12.0,5.0,67.0,1.0,40
1.0,25.0,4.0,317.0,1.0,73
1.0,1.0,1.0,16.0,0.0,200
1.0,165.0,1.0,365.0,1.0,48
30.0,0.0,33.0,346.0,0.0,225
2.0,349.0,1.0,13.0,1.0,80
3.0,28.0,2.0,0.0,1.0,60
1.0,16.0,2.0,351.0,0.0,121
3.0,250.0,1.0,111.0,1.0,135
45.0,3.0,1.0,21.0,0.0,73
2.0,47.0,1.0,0.0,1.0,70
2.0,77.0,1.0,264.0,0.0,49
3.0,0.0,2.0,0.0,1.0,60
3.0,8.0,2.0,0.0,0.0,245
29.0,0.0,1.0,283.0,0.0,375
2.0,9.0,3.0,357.0,1.0,38
1.0,3.0,1.0,362.0,0.0,229
28.0,1.0,49.0,257.0,0.0,714
1.0,38.0,1.0,0.0,1.0,75
3.0,12.0,1.0,343.0,0.0,165
3.0,4.0,7.0,109.0,1.0,100
30.0,0.0,9.0,266.0,0.0,150
1.0,0.0,1.0,88.0,1.0,60
1.0,103.0,4.0,133.0,2.0,28
15.0,1.0,2.0,0.0,1.0,55
1.0,160.0,3.0,246.0,0.0,129
5.0,8.0,2.0,179.0,1.0,35
1.0,0.0,1.0,0.0,1.0,50
5.0,0.0,1.0,365.0,0.0,350
4.0,77.0,1.0,258.0,0.0,150
4.0,126.0,2.0,290.0,0.0,219
3.0,21.0,1.0,0.0,1.0,67
25.0,3.0,1.0,161.0,0.0,130
1.0,119.0,2.0,316.0,1.0,150
3.0,1.0,1.0,0.0,1.0,200
3.0,24.0,3.0,19.0,0.0,80
3.0,154.0,2.0,305.0,1.0,130
3.0,55.0,4.0,63.0,1.0,79
1.0,5.0,1.0,0.0,0.0,160
1.0,55.0,1.0,0.0,1.0,75
3.0,88.0,1.0,189.0,1.0,78
3.0,11.0,1.0,0.0,0.0,125
1.0,2.0,1.0,161.0,0.0,290
5.0,1.0,1.0,0.0,0.0,120
30.0,2.0,96.0,336.0,0.0,160
5.0,0.0,1.0,0.0,1.0,82
2.0,21.0,1.0,51.0,1.0,60
2.0,10.0,1.0,0.0,0.0,250
2.0,8.0,1.0,86.0,0.0,325
2.0,56.0,2.0,27.0,1.0,32
2.0,20.0,2.0,0.0,1.0,210
2.0,36.0,7.0,286.0,1.0,40
30.0,0.0,1.0,0.0,0.0,200
3.0,70.0,1.0,178.0,0.0,139
1.0,50.0,1.0,188.0,0.0,229
1.0,102.0,1.0,269.0,1.0,89
3.0,480.0,1.0,0.0,1.0,60
1.0,0.0,4.0,78.0,0.0,170
20.0,1.0,1.0,0.0,1.0,41
4.0,0.0,1.0,0.0,0.0,95
31.0,0.0,1.0,0.0,1.0,50
15.0,6.0,1.0,17.0,0.0,160
2.0,6.0,327.0,325.0,0.0,196
1.0,141.0,4.0,348.0,1.0,70
2.0,34.0,2.0,117.0,0.0,60
7.0,17.0,1.0,66.0,1.0,50
3.0,31.0,1.0,0.0,0.0,83
3.0,14.0,34.0,361.0,2.0,36
30.0,3.0,52.0,342.0,0.0,115
5.0,8.0,2.0,0.0,0.0,120
29.0,2.0,5.0,1.0,1.0,40
1.0,14.0,1.0,12.0,1.0,68
2.0,97.0,5.0,22.0,1.0,80
1.0,1.0,3.0,0.0,0.0,150
2.0,0.0,1.0,0.0,0.0,180
1.0,22.0,3.0,38.0,1.0,67
1.0,5.0,2.0,163.0,1.0,100
4.0,19.0,3.0,43.0,1.0,69
25.0,20.0,5.0,365.0,1.0,65
3.0,20.0,1.0,27.0,1.0,30
1.0,180.0,3.0,125.0,0.0,125
3.0,1.0,1.0,46.0,0.0,200
1.0,0.0,1.0,188.0,0.0,180
14.0,7.0,1.0,21.0,0.0,67
3.0,4.0,3.0,348.0,0.0,250
1.0,21.0,1.0,188.0,2.0,50
